gene1,gene2,error,error_type,timestamp
EGFR,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:06.560076
EGFR,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:07.875959
CD276,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:08.217255
MET,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:08.557537
CD274,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:08.900288
TACSTD2,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:10.186819
CD276,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:10.762851
MET,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:11.817688
ERBB3,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:13.776646
MUC1,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:17.824773
ERBB3,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:20.894248
CD3E,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:21.670841
ERBB2,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:27.086127
ERBB2,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:28.087621
MUC1,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:28.866819
CD3E,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:29.430186
PTK7,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:32.488423
DCLK1,ERBB2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:46:38.476950
ERBB2,KRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:42.965531
ERBB2,MUC5AC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:43.840070
ERBB2,NCL,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:43.941150
ERBB2,NUTF2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:44.043189
ERBB2,POMP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:44.404998
ERBB2,SMARCA4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:45.772496
ERBB2,VEGFA,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:46.647060
ERBB2,VEGFB,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:46.750033
EGFR,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:50.273152
EGFR,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:51.278489
EGFR,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:51.379253
EGFR,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:52.631960
FOLR1,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:53.440721
PTK7,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:46:54.690453
B4GALNT1,ERBB2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:46:56.861879
BAK1,ERBB2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:46:56.963185
C16ORF54,ERBB2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:46:57.063834
CAPRIN1,ERBB2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:46:57.941791
CBL,ERBB2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:46:58.045596
CBLB,ERBB2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:46:58.151427
CD274,STING1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:02.802142
CTSD,ERBB2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:08.579435
ENO2,ERBB2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:10.266189
ERBB2,ESR1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:10.883193
ERBB2,F2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:10.985102
ERBB2,FN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:12.670528
ERBB2,FTMT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:12.778050
ERBB2,FUT4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:12.885128
ERBB2,GCNT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:13.525496
ERBB2,GPC2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:13.891563
ERBB2,HRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:15.573139
ERBB2,KEAP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:18.254641
ERBB2,KLK3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:18.362226
ERBB2,LGALS3BP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:18.727051
ERBB2,LY6G6D,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:19.094909
ERBB2,LY75-CD302,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:19.198814
ERBB2,MTX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:20.891757
ERBB2,MTX2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:20.993050
ERBB2,MTX3,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:21.093619
ERBB2,MYC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:21.710552
ERBB2,NR3C1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:22.324154
ERBB2,NR5A2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:22.431542
ERBB2,NRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:22.535581
ERBB2,NTN1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:22.639558
ERBB2,PSG1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:24.063927
ERBB2,RAB6A,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:24.958054
ERBB2,SERTAD2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:25.327633
ERBB2,SPA17,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:26.965367
ERBB2,SSBP4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:27.065146
ERBB2,ST13,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:27.166021
ERBB2,TBX1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:27.526682
ERBB2,TGFB1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:27.886048
ERBB2,TGFBR3L,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:27.987771
ERBB2,TYRP1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:30.409668
ERBB2,VEGFD,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:30.765291
ERBB2,VIM,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:30.864783
DCLK1,EGFR,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:37.166833
EGFR,KRAS,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:41.399004
EGFR,MUC5AC,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:42.198978
EGFR,NCL,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:42.302075
EGFR,NUTF2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:42.405811
EGFR,POMP,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:42.744644
EGFR,SMARCA4,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:43.973993
EGFR,STING1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:44.305375
EGFR,VEGFA,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:44.870374
EGFR,VEGFB,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:44.969977
FOLH1,TLR7,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:45.069492
FOLR1,TLR8,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:45.169165
STING1,TACSTD2,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:46.624946
CD274,GSPT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:48.097841
CD274,NAMPT,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:49.109386
CD274,NMT1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:49.208696
CD274,SMARCA2,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:50.199508
CD276,STING1,Missing required columns: ['partner_expression'],ValueError,2025-09-30T18:47:53.291511
B4GALNT1,EGFR,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:56.165578
BAK1,EGFR,Missing required columns: ['target_expression'],ValueError,2025-09-30T18:47:56.265859
