target_transcript_id,partner_transcript_id,or_threshold_target,or_threshold_partner,and_threshold
ENST00000318424.9,ENST00000269571.9,0.0718,4.6341,0.03107417986670129
ENST00000318424.9,ENST00000371225.3,0.0718,7.7092,0.03107417986670129
ENST00000381573.8,ENST00000318493.10,3.8954,-3.816,0.7567851106405299
ENST00000318493.10,ENST00000371225.3,-3.816,7.7092,0.954179765824195
ENST00000269571.9,ENST00000337604.6,4.6341,2.8321,0.5537598301522997
ENST00000381573.8,ENST00000267101.7,3.8954,4.1252,0.46554464027737646
ENST00000361763.8,ENST00000269571.9,4.0127,4.6341,0.6659817723167059
ENST00000318424.9,ENST00000267101.7,0.0718,4.1252,-0.0313771314810006
ENST00000269571.9,ENST00000230419.8,4.6341,4.3385,0.7459835498501038
ENST00000361763.8,ENST00000275493.6,4.0127,4.6877,0.7075100303264329
ENST00000381573.8,ENST00000337604.6,3.8954,2.8321,0.3537121688078165
ENST00000269571.9,ENST00000312293.8,4.6341,4.3104,0.8256164049149645
ENST00000381573.8,ENST00000361763.8,3.8954,4.0127,0.5901346336914498
ENST00000318424.9,ENST00000337604.6,0.0718,2.8321,-1.496580974638622
ENST00000269571.9,ENST00000256999.6,4.6341,3.2557,0.22204817316299125
ENST00000361763.8,ENST00000371225.3,4.0127,7.7092,0.705213258410278
ENST00000275493.6,ENST00000312293.8,4.6877,4.3104,0.6543537446356883
ENST00000318493.10,ENST00000337604.6,-3.816,2.8321,0.6135531532312225
ENST00000381573.8,ENST00000230419.8,3.8954,4.3385,0.5830578830040741
ENST00000318424.9,ENST00000361763.8,0.0718,4.0127,-0.014582243855344141
ENST00000205143.4,ENST00000269571.9,1.5465,4.6341,0.24608448952625234
ENST00000269571.9,ENST00000369750.3,4.6341,0.2154,0.024410774410774414
ENST00000361763.8,ENST00000318493.10,4.0127,-3.816,0.8070919988736474
ENST00000275493.6,ENST00000256999.6,4.6877,3.2557,0.3378153774557059
ENST00000085219.9,ENST00000269571.9,4.6189,4.6341,0.44437734025848535
ENST00000381573.8,ENST00000312293.8,3.8954,4.3104,0.47529772890641686
ENST00000263735.8,ENST00000269571.9,7.1896,4.6341,0.9115147652432547
ENST00000269571.9,ENST00000261170.4,4.6341,-2.9324,0.942733338758239
ENST00000269571.9,ENST00000283249.6,4.6341,5.2799,0.9026365041907396
ENST00000269571.9,ENST00000334409.9,4.6341,2.8055,0.6408310897174404
ENST00000269571.9,ENST00000317338.16,4.6341,4.0575,0.20017573957069335
ENST00000269571.9,ENST00000357585.3,4.6341,4.5442,0.4507175856799058
ENST00000205143.4,ENST00000275493.6,1.5465,4.6877,0.4511857446928742
ENST00000312293.8,ENST00000371225.3,4.3104,7.7092,0.7014629799242518
ENST00000301178.8,ENST00000269571.9,5.298,4.6341,0.696118549721679
ENST00000324662.7,ENST00000269571.9,3.1685,4.6341,0.5818618276507445
ENST00000381573.8,ENST00000256999.6,3.8954,3.2557,0.06941503312416217
ENST00000318424.9,ENST00000312293.8,0.0718,4.3104,-0.07911365013416428
ENST00000262262.4,ENST00000269571.9,3.3675,4.6341,0.680766064597356
ENST00000312648.7,ENST00000269571.9,4.5693,4.6341,0.6918178859142322
ENST00000085219.9,ENST00000275493.6,4.6189,4.6877,0.4603401834655013
ENST00000275493.6,ENST00000263735.8,4.6877,7.1896,0.8300801997025706
ENST00000275493.6,ENST00000261170.4,4.6877,-2.9324,0.8829889430955565
ENST00000275493.6,ENST00000283249.6,4.6877,5.2799,0.7560984289094889
ENST00000275493.6,ENST00000334409.9,4.6877,2.8055,0.5565527181746485
ENST00000275493.6,ENST00000317338.16,4.6877,4.0575,0.4613385070353556
ENST00000275493.6,ENST00000357585.3,4.6877,4.5442,0.44857449013649053
ENST00000256999.6,ENST00000371225.3,3.2557,7.7092,0.1143502975102217
ENST00000312293.8,ENST00000318493.10,4.3104,-3.816,0.9945087905495823
ENST00000381573.8,ENST00000205143.4,3.8954,1.5465,-0.069279039496435
ENST00000381573.8,ENST00000369750.3,3.8954,0.2154,-0.18202861952861954
ENST00000226279.7,ENST00000269571.9,3.1327,4.6341,0.694035316136382
ENST00000361763.8,ENST00000267101.7,4.0127,4.1252,0.6019751397884067
ENST00000296129.5,ENST00000269571.9,2.8542,4.6341,0.7764464154935307
ENST00000027335.7,ENST00000269571.9,-2.1779,4.6341,-0.2706440829615638
ENST00000328796.4,ENST00000269571.9,-0.5973,4.6341,-0.8334950278923114
ENST00000269571.9,ENST00000072516.7,4.6341,3.5362,0.5647642679900745
ENST00000269571.9,ENST00000397910.8,4.6341,-0.8084,-0.588569348380051
ENST00000269571.9,ENST00000368012.3,4.6341,2.9262,0.5952566432961135
ENST00000269571.9,ENST00000257770.7,4.6341,3.7582,0.7759076429523529
ENST00000269571.9,ENST00000371079.5,4.6341,0.537,0.28804376977954194
ENST00000269571.9,ENST00000254351.8,4.6341,8.1131,0.7876759703800146
ENST00000301178.8,ENST00000275493.6,5.298,4.6877,0.7428012637279976
ENST00000324662.7,ENST00000275493.6,3.1685,4.6877,0.5508297387406054
ENST00000262262.4,ENST00000275493.6,3.3675,4.6877,0.7371555856859231
ENST00000312648.7,ENST00000275493.6,4.5693,4.6877,0.6943664139762189
ENST00000205143.4,ENST00000371225.3,1.5465,7.7092,-0.11641953610416615
ENST00000256999.6,ENST00000318493.10,3.2557,-3.816,0.5411195691919024
ENST00000371225.3,ENST00000369750.3,7.7092,0.2154,0.024410774410774414
ENST00000331581.10,ENST00000269571.9,2.4279,4.6341,0.3283424200504516
ENST00000085219.9,ENST00000381573.8,4.6189,3.8954,0.3921367314893103
ENST00000381573.8,ENST00000263735.8,3.8954,7.1896,0.6431527208439375
ENST00000381573.8,ENST00000261170.4,3.8954,-2.9324,0.7567851106405299
ENST00000381573.8,ENST00000317338.16,3.8954,4.0575,-0.029219202300235073
ENST00000381573.8,ENST00000357585.3,3.8954,4.5442,0.005269907073971928
ENST00000318424.9,ENST00000369750.3,0.0718,0.2154,-0.6532828282828284
ENST00000361763.8,ENST00000337604.6,4.0127,2.8321,0.4883342049157247
ENST00000355354.11,ENST00000269571.9,5.9301,4.6341,0.7300634713971843
ENST00000264012.8,ENST00000269571.9,-0.1828,4.6341,-0.14330511132016305
ENST00000221992.10,ENST00000269571.9,3.8085,4.6341,0.5751910097526362
ENST00000199764.6,ENST00000269571.9,8.5331,4.6341,0.7860633122011836
ENST00000295854.10,ENST00000269571.9,-0.3022,4.6341,-0.1200969677701387
ENST00000292174.4,ENST00000269571.9,3.4384,4.6341,0.634958092603141
ENST00000269571.9,ENST00000260795.6,4.6341,6.7372,0.6023948044919497
ENST00000269571.9,ENST00000264832.7,4.6341,9.228,0.7190270776941398
ENST00000269571.9,ENST00000261023.7,4.6341,5.2235,0.7128496161843565
ENST00000269571.9,ENST00000361699.8,4.6341,-9.9658,-5.235788588841022
ENST00000269571.9,ENST00000347624.3,4.6341,2.0289,0.4414923915696964
ENST00000269571.9,ENST00000333039.2,4.6341,7.2566,0.3726129432719814
ENST00000269571.9,ENST00000344956.8,4.6341,2.8482,0.6429327040442672
ENST00000269571.9,ENST00000311161.11,4.6341,1.9111,0.4346976016684046
ENST00000269571.9,ENST00000338663.11,4.6341,7.5872,0.7890560365420246
ENST00000269571.9,ENST00000305366.7,4.6341,8.9156,0.7078885232152137
ENST00000269571.9,ENST00000377507.7,4.6341,-1.3183,-3.5774762550881958
ENST00000267101.7,ENST00000230419.8,4.1252,4.3385,0.6990392950014447
