gene_symbol,protein_name,verdict,include_in_analysis,exclusion_category,surface_notes,internalization_notes,therapeutic_window_notes,pk_notes,safety_notes,competition_notes,physiology_notes,oncogenic_notes,isoforms_notes,toolbox_notes,monospecific_feasible,bispecific_rationale,recommended_gating,key_concerns,recommendation,last_updated,updated_by
SLC38A1,Sodium-Coupled Neutral Amino Acid Transporter 1,Excluded,false,Poor Topology,Multi-pass 11-TM,No data,CNS essential,N/A,CNS essential neurotoxicity risk,No ADC programs,,,,,No,N/A,N/A,11-TM topology; CNS essential,EXCLUDED: Multi-pass + CNS essential,2026-02-04T16:04:06.711927,R4 batch (Claude+Gemini combined)
CXCR4,,Excluded,false,Immune Marker,,,,,"Surface marker from scRNA-seq (B cell, T cell)",,,,,,No,,N/A,"Surface marker from scRNA-seq (B cell, T cell)",Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (scRNAseq)
LILRB4,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
LILRB2,,Excluded,false,Immune/Stromal Marker,,,,,Surface marker from NanoString,,,,,,No,,N/A,Surface marker from NanoString,Excluded: Immune/Stromal Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString)
PTPRC,,Excluded,false,Pan-leukocyte,,,,,CD45 - universal leukocyte marker,,,,,,No,,N/A,CD45 - universal leukocyte marker,Excluded: Pan-leukocyte,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString; scRNAseq)
CD40,,Excluded,false,Dendritic,,,,,CD40 - APC licensing receptor; impairs priming and cross-presentation,,,,,,No,,N/A,CD40 - APC licensing receptor; impairs priming and cross-presentation,Excluded: Dendritic,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
CD2,,Excluded,false,Immune Marker,,,,,Surface marker from NanoString; scRNA-seq (T cell),,,,,,No,,N/A,Surface marker from NanoString; scRNA-seq (T cell),Excluded: Immune Marker,2026-02-02T09:17:53.282929,Migrated from blacklist (NanoString; scRNAseq)
SIGLEC7,,Excluded,false,NK-cell,,,,,SIGLEC-7 - inhibitory NK/myeloid receptor; decreases innate response,,,,,,No,,N/A,SIGLEC-7 - inhibitory NK/myeloid receptor; decreases innate response,Excluded: NK-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual)
PODXL2,Podocalyxin-Like Protein 2 (Endoglycan),Conditional,true,"",Type I TM; CD34 family sialomucin,Inferred from related PODXL (PODO447-ADC),Overexpressed in 8 cancer types; CNS/kidney podocyte expression concern,Potential mucin shedding,CNS expression; kidney podocyte toxicity risk,PODO447-ADC preclinical for related PODXL,,,,,Marginal,AND-gate for CNS/renal safety,AND-gate,CNS expression; kidney podocyte; internalization needs validation,CONDITIONAL: Validate internalization; assess CNS/renal safety,2026-02-04T16:04:06.711927,R7 batch (Claude+Gemini combined)
MS4A1,,Excluded,false,B-cell,,,,,CD20 - pan B-cell marker,,,,,,No,,N/A,CD20 - pan B-cell marker,Excluded: B-cell,2026-02-02T09:17:53.282929,Migrated from blacklist (Manual; NanoString; scRNAseq)
